Order Date,Ship Date,Ship Mode,Segment,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Delivery Days,Unit Cost,Order Month,Order Month Name,Order Year
8/27/2014,9/1/2014,Second Class,Consumer,California,94109,West,Office Supplies,Art,8.56,2,0,2.4824,5,3.0388,8,August,2014
8/27/2014,9/1/2014,Second Class,Consumer,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,5,65.823,8,August,2014
8/27/2014,9/1/2014,Second Class,Consumer,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,5,3.834,8,August,2014
12/9/2016,12/13/2016,Standard Class,Corporate,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0,5.0596,4,2.0572,12,December,2016
12/9/2016,12/13/2016,Standard Class,Corporate,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0,15.6884,4,6.3788,12,December,2016
7/16/2017,7/18/2017,Second Class,Consumer,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2,36.1958,7,July,2017
9/25/2015,9/30/2015,Standard Class,Consumer,Utah,84057,West,Furniture,Tables,1044.63,3,0,240.2649,5,268.1217,9,September,2015
1/16/2016,1/20/2016,Second Class,Consumer,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,4,3.7128,1,January,2016
1/16/2016,1/20/2016,Second Class,Consumer,California,90049,West,Technology,Accessories,90.57,3,0,11.7741,4,26.2653,1,January,2016
9/17/2015,9/21/2015,Standard Class,Consumer,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,4,678.3546,9,September,2015
9/17/2015,9/21/2015,Standard Class,Consumer,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,4,8.3356,9,September,2015
9/17/2015,9/21/2015,Standard Class,Consumer,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,4,36.225,9,September,2015
9/17/2015,9/21/2015,Standard Class,Consumer,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,4,1.0812,9,September,2015
9/17/2015,9/21/2015,Standard Class,Consumer,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,4,12.7658,9,September,2015
9/17/2015,9/21/2015,Standard Class,Consumer,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,4,2.0955,9,September,2015
9/17/2015,9/21/2015,Standard Class,Consumer,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,4,6.107,9,September,2015
10/19/2017,10/23/2017,Second Class,Home Office,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,4,6.5084,10,October,2017
12/8/2016,12/10/2016,First Class,Corporate,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,2,139.1529,12,December,2016
12/8/2016,12/10/2016,First Class,Corporate,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2,67.7766,12,December,2016
12/27/2015,12/31/2015,Standard Class,Home Office,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,4,8.657,12,December,2015
12/27/2015,12/31/2015,Standard Class,Home Office,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,4,193.1252,12,December,2015
12/27/2015,12/31/2015,Standard Class,Home Office,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,4,75.735,12,December,2015
12/27/2015,12/31/2015,Standard Class,Home Office,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,4,82.3529,12,December,2015
9/10/2017,9/15/2017,Standard Class,Corporate,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,5,32.6529,9,September,2017
7/17/2016,7/22/2016,Standard Class,Corporate,California,90049,West,Office Supplies,Storage,77.88,2,0,3.894,5,36.993,7,July,2016
9/19/2017,9/23/2017,Standard Class,Corporate,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,4,43.0272,9,September,2017
3/11/2016,3/13/2016,First Class,Corporate,Minnesota,55122,Central,Technology,Accessories,45.98,2,0,19.7714,2,13.1043,3,March,2016
3/11/2016,3/13/2016,First Class,Corporate,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0,8.2062,2,4.6269,3,March,2016
10/20/2014,10/25/2014,Second Class,Consumer,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0,8.4784,5,50.8704,10,October,2014
6/20/2016,6/25/2016,Standard Class,Consumer,Delaware,19901,East,Technology,Accessories,45,3,0,4.95,5,13.35,6,June,2016
6/20/2016,6/25/2016,Standard Class,Consumer,Delaware,19901,East,Technology,Phones,21.8,2,0,6.104,5,7.848,6,June,2016
4/18/2015,4/22/2015,Standard Class,Consumer,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0,17.9634,4,3.3761,4,April,2015
4/18/2015,4/22/2015,Standard Class,Consumer,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0,35.3346,4,6.6409,4,April,2015
4/18/2015,4/22/2015,Standard Class,Consumer,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0,2.9568,4,1.6016,4,April,2015
4/18/2015,4/22/2015,Standard Class,Consumer,Indiana,47150,Central,Furniture,Chairs,89.99,1,0,17.0981,4,72.8919,4,April,2015
12/11/2016,12/17/2016,Standard Class,Corporate,New York,10024,East,Office Supplies,Fasteners,15.26,7,0,6.2566,6,1.2862,12,December,2016
12/11/2016,12/17/2016,Standard Class,Corporate,New York,10024,East,Technology,Phones,1029.95,5,0,298.6855,6,146.2529,12,December,2016
6/17/2016,6/18/2016,First Class,Consumer,New York,12180,East,Office Supplies,Storage,208.56,6,0,52.14,1,26.07,6,June,2016
6/17/2016,6/18/2016,First Class,Consumer,New York,12180,East,Office Supplies,Paper,32.4,5,0,15.552,1,3.3696,6,June,2016
6/17/2016,6/18/2016,First Class,Consumer,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,1,62.4624,6,June,2016
6/17/2016,6/18/2016,First Class,Consumer,New York,12180,East,Office Supplies,Paper,14.56,2,0,6.9888,1,3.7856,6,June,2016
6/17/2016,6/18/2016,First Class,Consumer,New York,12180,East,Technology,Accessories,30,2,0,3.3,1,13.35,6,June,2016
6/17/2016,6/18/2016,First Class,Consumer,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,1,8.0295,6,June,2016
6/17/2016,6/18/2016,First Class,Consumer,New York,12180,East,Office Supplies,Art,1.68,1,0,0.84,1,0.84,6,June,2016
11/24/2015,11/30/2015,Standard Class,Consumer,California,90004,West,Technology,Accessories,13.98,2,0,6.1512,6,3.9144,11,November,2015
11/24/2015,11/30/2015,Standard Class,Consumer,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,6,2.7438,11,November,2015
11/24/2015,11/30/2015,Standard Class,Consumer,California,90004,West,Office Supplies,Paper,146.73,3,0,68.9631,6,25.9223,11,November,2015
11/24/2015,11/30/2015,Standard Class,Consumer,California,90004,West,Furniture,Furnishings,79.76,4,0,22.3328,6,14.3568,11,November,2015
4/30/2015,5/5/2015,Standard Class,Home Office,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,5,45.6675,4,April,2015
12/5/2014,12/10/2014,Standard Class,Corporate,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,5,125.2152,12,December,2014
12/5/2014,12/10/2014,Standard Class,Corporate,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,5,26.245,12,December,2014
6/4/2016,6/6/2016,First Class,Consumer,Virginia,22153,South,Office Supplies,Paper,75.88,2,0,35.6636,2,20.1082,6,June,2016
9/18/2016,9/23/2016,Standard Class,Consumer,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,5,2.885,9,September,2016
9/14/2017,9/17/2017,Second Class,Consumer,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0,8.763,3,3.429,9,September,2017
4/26/2015,5/2/2015,Standard Class,Consumer,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,6,118.2909,4,April,2015
4/26/2015,5/2/2015,Standard Class,Consumer,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,6,47.9135,4,April,2015
4/26/2015,5/2/2015,Standard Class,Consumer,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,6,90.98,4,April,2015
12/9/2017,12/11/2017,First Class,Corporate,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2,1.0608,12,December,2017
12/9/2017,12/11/2017,First Class,Corporate,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2,5.1776,12,December,2017
12/9/2017,12/11/2017,First Class,Corporate,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2,8.172,12,December,2017
11/26/2014,12/1/2014,Second Class,Consumer,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,5,6.755,11,November,2014
6/12/2016,6/15/2016,First Class,Corporate,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0,56.2032,3,151.9568,6,June,2016
6/12/2016,6/15/2016,First Class,Corporate,Alabama,35601,South,Office Supplies,Binders,16.74,3,0,8.0352,3,2.9016,6,June,2016
10/12/2014,10/16/2014,Standard Class,Consumer,California,94122,West,Office Supplies,Art,14.9,5,0,4.172,4,2.1456,10,October,2014
10/12/2014,10/16/2014,Standard Class,Consumer,California,94122,West,Office Supplies,Storage,21.39,1,0,6.2031,4,15.1869,10,October,2014
9/3/2015,9/8/2015,Standard Class,Corporate,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,5,19.7395,9,September,2015
11/13/2017,11/16/2017,First Class,Home Office,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,3,93.1103,11,November,2017
5/28/2017,5/30/2017,Second Class,Consumer,South Carolina,29203,South,Furniture,Chairs,301.96,2,0,33.2156,2,134.3722,5,May,2017
10/26/2017,11/2/2017,Standard Class,Consumer,Minnesota,55901,Central,Technology,Accessories,19.99,1,0,6.7966,7,13.1934,10,October,2017
10/26/2017,11/2/2017,Standard Class,Consumer,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0,2.9568,7,1.6016,10,October,2017
4/5/2016,4/10/2016,Second Class,Home Office,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,5,20.6444,4,April,2016
9/17/2016,9/22/2016,Standard Class,Corporate,California,90036,West,Office Supplies,Art,20.1,3,0,6.633,5,4.489,9,September,2016
9/17/2016,9/22/2016,Standard Class,Corporate,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,5,32.6529,9,September,2016
9/17/2016,9/22/2016,Standard Class,Corporate,California,90036,West,Office Supplies,Paper,6.48,1,0,3.1104,5,3.3696,9,September,2016
1/31/2015,2/5/2015,Second Class,Consumer,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0,6.2208,5,3.3696,1,January,2015
1/31/2015,2/5/2015,Second Class,Consumer,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0,16.5354,5,12.2682,1,January,2015
1/31/2015,2/5/2015,Second Class,Consumer,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0,16.1504,5,8.4048,1,January,2015
11/6/2017,11/12/2017,Standard Class,Home Office,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,6,9.47,11,November,2017
11/9/2017,11/11/2017,Second Class,Home Office,New York,10009,East,Furniture,Furnishings,96.53,7,0,40.5426,2,7.9982,11,November,2017
6/17/2017,6/20/2017,First Class,Consumer,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,3,11.1176,6,June,2017
9/6/2016,9/11/2016,Standard Class,Corporate,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0,22.5852,5,9.2158,9,September,2016
8/29/2016,9/2/2016,Standard Class,Home Office,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,4,6.0008,8,August,2016
8/29/2016,9/2/2016,Standard Class,Home Office,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,4,35.5911,8,August,2016
8/29/2016,9/2/2016,Standard Class,Home Office,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,4,1.6092,8,August,2016
12/1/2016,12/4/2016,Second Class,Consumer,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0,11.7208,3,3.0498,12,December,2016
11/13/2015,11/17/2015,Standard Class,Consumer,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,4,44.2953,11,November,2015
11/13/2015,11/17/2015,Standard Class,Consumer,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,4,35.3995,11,November,2015
11/13/2015,11/17/2015,Standard Class,Consumer,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,4,20.8998,11,November,2015
11/23/2017,11/28/2017,Standard Class,Consumer,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,5,7.0638,11,November,2017
11/23/2017,11/28/2017,Standard Class,Consumer,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,5,25.8926,11,November,2017
11/23/2017,11/28/2017,Standard Class,Consumer,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,5,2.2302,11,November,2017
10/15/2015,10/20/2015,Standard Class,Home Office,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,5,54.3936,10,October,2015
12/25/2017,12/30/2017,Standard Class,Corporate,New York,10035,East,Furniture,Furnishings,41.96,2,0,10.9096,5,15.5252,12,December,2017
11/3/2016,11/10/2016,Standard Class,Consumer,Iowa,50322,Central,Office Supplies,Art,75.96,2,0,22.788,7,26.586,11,November,2016
11/3/2016,11/10/2016,Standard Class,Consumer,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0,13.3476,7,2.3154,11,November,2016
8/25/2014,8/27/2014,Second Class,Consumer,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2,1.8258,8,August,2014
8/25/2014,8/27/2014,Second Class,Consumer,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2,1.534,8,August,2014
8/25/2014,8/27/2014,Second Class,Consumer,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2,5.4945,8,August,2014
8/25/2014,8/27/2014,Second Class,Consumer,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2,14.4054,8,August,2014
3/2/2015,3/6/2015,Standard Class,Consumer,Washington,98103,West,Furniture,Tables,787.53,3,0,165.3813,4,207.3829,3,March,2015
4/5/2015,4/10/2015,Standard Class,Corporate,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,5,273.5096,4,April,2015
6/12/2016,6/15/2016,First Class,Consumer,Delaware,19805,East,Furniture,Furnishings,47.04,3,0,18.3456,3,9.5648,6,June,2016
6/12/2016,6/15/2016,First Class,Consumer,Delaware,19805,East,Office Supplies,Binders,30.84,4,0,13.878,3,4.2405,6,June,2016
6/12/2016,6/15/2016,First Class,Consumer,Delaware,19805,East,Office Supplies,Storage,226.56,6,0,63.4368,3,27.1872,6,June,2016
6/12/2016,6/15/2016,First Class,Consumer,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0,51.759,3,7.029,6,June,2016
6/12/2016,6/15/2016,First Class,Consumer,Delaware,19805,East,Technology,Phones,68.04,7,0,19.7316,3,6.9012,6,June,2016
12/26/2014,12/28/2014,Second Class,Home Office,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2,203.0458,12,December,2014
9/20/2014,9/25/2014,Standard Class,Consumer,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,5,170.897,9,September,2014
11/5/2017,11/12/2017,Standard Class,Consumer,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,7,2.1094,11,November,2017
11/5/2017,11/12/2017,Standard Class,Consumer,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,7,30.499,11,November,2017
11/6/2016,11/10/2016,Second Class,Home Office,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,4,45.2921,11,November,2016
11/6/2016,11/10/2016,Second Class,Home Office,California,90004,West,Furniture,Furnishings,238.56,3,0,26.2416,4,70.7728,11,November,2016
2/2/2017,2/5/2017,First Class,Corporate,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,3,14.3928,2,February,2017
2/2/2017,2/5/2017,First Class,Corporate,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,3,24.47,2,February,2017
2/2/2017,2/5/2017,First Class,Corporate,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,3,1.6092,2,February,2017
10/13/2016,10/19/2016,Standard Class,Consumer,California,95661,West,Office Supplies,Paper,20.04,3,0,9.6192,6,3.4736,10,October,2016
10/13/2016,10/19/2016,Standard Class,Consumer,California,95661,West,Office Supplies,Paper,35.44,1,0,16.6568,6,18.7832,10,October,2016
10/13/2016,10/19/2016,Standard Class,Consumer,California,95661,West,Office Supplies,Art,11.52,4,0,3.456,6,2.016,10,October,2016
10/13/2016,10/19/2016,Standard Class,Consumer,California,95661,West,Office Supplies,Fasteners,4.02,2,0,1.9698,6,1.0251,10,October,2016
10/13/2016,10/19/2016,Standard Class,Consumer,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,6,16.5048,10,October,2016
10/13/2016,10/19/2016,Standard Class,Consumer,California,95661,West,Office Supplies,Supplies,65.88,6,0,18.4464,6,7.9056,10,October,2016
10/13/2016,10/19/2016,Standard Class,Consumer,California,95661,West,Furniture,Furnishings,43.12,14,0,20.6976,6,1.6016,10,October,2016
9/5/2016,9/7/2016,Second Class,Corporate,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,2,36.225,9,September,2016
9/18/2017,9/23/2017,Standard Class,Corporate,California,94122,West,Office Supplies,Art,8.82,3,0,2.3814,5,2.1462,9,September,2017
9/18/2017,9/23/2017,Standard Class,Corporate,California,94122,West,Office Supplies,Envelopes,10.86,3,0,5.1042,5,1.9186,9,September,2017
9/18/2017,9/23/2017,Standard Class,Corporate,California,94122,West,Office Supplies,Paper,143.7,3,0,68.976,5,24.908,9,September,2017
12/22/2017,12/27/2017,Standard Class,Consumer,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0,218.2518,5,207.0594,12,December,2017
9/7/2015,9/12/2015,Standard Class,Consumer,California,91104,West,Office Supplies,Storage,671.93,7,0,20.1579,5,93.1103,9,September,2015
10/22/2014,10/28/2014,Standard Class,Home Office,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096,6,20.2446,10,October,2014
12/5/2016,12/9/2016,Standard Class,Corporate,Wisconsin,53132,Central,Technology,Phones,384.45,11,0,103.8015,4,25.5135,12,December,2016
12/5/2016,12/9/2016,Standard Class,Corporate,Wisconsin,53132,Central,Technology,Phones,149.97,3,0,5.9988,4,47.9904,12,December,2016
12/5/2016,12/9/2016,Standard Class,Corporate,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0,585.552,4,170.786,12,December,2016
12/5/2016,12/9/2016,Standard Class,Corporate,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0,80.6285,4,18.1843,12,December,2016
3/13/2016,3/16/2016,First Class,Home Office,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766,3,28.0308,3,March,2016
3/13/2016,3/16/2016,First Class,Home Office,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.2388,3,93.9726,3,March,2016
5/31/2015,6/2/2015,First Class,Corporate,California,95123,West,Office Supplies,Paper,58.38,7,0,26.271,2,4.587,5,May,2015
5/31/2015,6/2/2015,First Class,Corporate,California,95123,West,Office Supplies,Paper,105.52,4,0,48.5392,2,14.2452,5,May,2015
5/31/2015,6/2/2015,First Class,Corporate,California,95123,West,Office Supplies,Storage,80.88,6,0,21.0288,2,9.9752,5,May,2015
5/28/2015,6/3/2015,Standard Class,Home Office,Washington,98105,West,Office Supplies,Art,6.63,3,0,1.7901,6,1.6133,5,May,2015
3/1/2014,3/6/2014,Second Class,Consumer,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764,5,203.0458,3,March,2014
11/20/2016,11/24/2016,Standard Class,Consumer,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0,6.8714,4,3.8743,11,November,2016
11/20/2016,11/24/2016,Standard Class,Consumer,Oklahoma,73034,Central,Technology,Phones,944.93,7,0,236.2325,4,101.2425,11,November,2016
5/11/2016,5/12/2016,First Class,Consumer,California,90045,West,Office Supplies,Paper,5.98,1,0,2.691,1,3.289,5,May,2016
12/28/2015,12/31/2015,Second Class,Consumer,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596,3,26.5122,12,December,2015
11/16/2016,11/20/2016,Standard Class,Consumer,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0,13.348,4,3.0104,11,November,2016
11/7/2016,11/11/2016,Standard Class,Consumer,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9.688,4,8.996,11,November,2016
9/8/2014,9/12/2014,Standard Class,Consumer,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.7324,4,2.4012,9,September,2014
9/8/2014,9/12/2014,Standard Class,Consumer,Texas,78207,Central,Technology,Machines,8159.952,8,0.4,-1359.992,4,1189.993,9,September,2014
9/8/2014,9/12/2014,Standard Class,Consumer,Texas,78207,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,4,111.5209,9,September,2014
9/8/2014,9/12/2014,Standard Class,Consumer,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,4,196.102,9,September,2014
9/8/2014,9/12/2014,Standard Class,Consumer,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.8136,4,4.2084,9,September,2014
9/8/2014,9/12/2014,Standard Class,Consumer,Texas,78207,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,4,126.3658,9,September,2014
9/8/2014,9/12/2014,Standard Class,Consumer,Texas,78207,Central,Technology,Phones,143.976,3,0.2,8.9985,4,44.9925,9,September,2014
8/5/2014,8/9/2014,Standard Class,Consumer,California,90004,West,Office Supplies,Paper,20.94,3,0,9.8418,4,3.6994,8,August,2014
8/5/2014,8/9/2014,Standard Class,Consumer,California,90004,West,Office Supplies,Paper,110.96,2,0,53.2608,4,28.8496,8,August,2014
8/5/2014,8/9/2014,Standard Class,Consumer,California,90004,West,Furniture,Chairs,340.144,7,0.2,21.259,4,45.555,8,August,2014
9/14/2014,9/19/2014,Standard Class,Corporate,Illinois,60623,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,5,91.784,9,September,2014
9/14/2014,9/19/2014,Standard Class,Corporate,Illinois,60623,Central,Office Supplies,Labels,20.16,4,0.2,6.552,5,3.402,9,September,2014
4/21/2017,4/25/2017,Second Class,Consumer,Texas,77036,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,4,85.106,4,April,2017
11/21/2015,11/23/2015,Second Class,Consumer,Ohio,43055,East,Furniture,Chairs,396.802,7,0.3,-11.3372,2,58.3056,11,November,2015
11/21/2015,11/23/2015,Second Class,Consumer,Ohio,43055,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,2,3.9303,11,November,2015
12/15/2015,12/19/2015,Standard Class,Home Office,New York,10009,East,Office Supplies,Art,3.28,1,0,1.4104,4,1.8696,12,December,2015
12/5/2014,12/9/2014,Second Class,Corporate,Illinois,62521,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,4,11.4774,12,December,2014
12/5/2014,12/9/2014,Second Class,Corporate,Illinois,62521,Central,Technology,Accessories,408.744,7,0.2,76.6395,4,47.4435,12,December,2014
11/19/2014,11/24/2014,Second Class,Home Office,Louisiana,71203,South,Technology,Phones,503.96,4,0,131.0296,5,93.2326,11,November,2014
11/19/2014,11/24/2014,Second Class,Home Office,Louisiana,71203,South,Technology,Phones,149.95,5,0,41.986,5,21.5928,11,November,2014
11/19/2014,11/24/2014,Second Class,Home Office,Louisiana,71203,South,Technology,Accessories,29,2,0,7.25,5,10.875,11,November,2014
11/28/2016,12/2/2016,Standard Class,Consumer,Connecticut,6824,East,Office Supplies,Binders,7.16,2,0,3.4368,4,1.8616,11,November,2016
8/26/2014,8/30/2014,Standard Class,Home Office,California,90032,West,Technology,Accessories,176.8,8,0,22.984,4,19.227,8,August,2014
7/16/2016,7/22/2016,Standard Class,Corporate,Texas,75051,Central,Office Supplies,Storage,37.224,3,0.2,3.7224,6,11.1672,7,July,2016
7/16/2016,7/22/2016,Standard Class,Corporate,Texas,75051,Central,Office Supplies,Paper,20.016,3,0.2,6.255,6,4.587,7,July,2016
10/12/2015,10/14/2015,First Class,Home Office,New York,10035,East,Furniture,Bookcases,899.136,4,0.2,112.392,2,196.686,10,October,2015
10/12/2015,10/14/2015,First Class,Home Office,New York,10035,East,Technology,Phones,71.76,6,0,20.0928,2,8.6112,10,October,2015
